id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
483,Daniel Sturridge,20,757,3,4.347297552973032,1,1.6363770924508572,40,14,1,0,F S,Liverpool,3,4.347297552973032,7.814842473715544,3.2096377797424793,2016
500,Alex Iwobi,26,1471,3,3.227379996329546,3,2.2150607239454985,39,26,1,0,M S,Arsenal,3,3.227379996329546,9.353172458708286,5.631796456873417,2016
512,Scott Dann,23,1746,3,1.3930323915556073,1,0.915567122399807,21,6,2,0,D S,Crystal Palace,3,1.3930323915556073,2.083009421825409,2.0511964187026024,2016
530,James Tomkins,24,1984,3,4.003372926265001,0,0.10124170035123825,14,2,4,0,D S,Crystal Palace,3,4.003372926265001,2.6131718987599015,2.555121699348092,2016
533,Mark Noble,30,2422,3,3.6519652949646115,0,1.4297507805749774,25,24,10,0,M S,West Ham,2,2.1296242820098996,7.117133017629385,5.723065760917962,2016
539,Enner Valencia,24,907,3,4.101015366613865,1,0.8733555935323238,31,7,1,0,F M S,"Everton,West Ham",3,4.101015366613865,5.446974772959948,1.1479168012738228,2016
541,Victor Moses,34,2519,3,4.045990202575922,2,2.633279960602522,45,28,4,0,M S,Chelsea,3,4.045990202575922,9.635234056040645,5.143250335007906,2016
579,Nathan Aké,12,826,3,2.1903573852032423,1,1.0062817707657814,7,4,1,0,D S,"Bournemouth,Chelsea",3,2.1903573852032423,4.4379116259515285,2.8812461756169796,2016
587,Phil Jagielka,27,2252,3,1.2690291870385408,2,0.7028575781732798,14,5,4,1,D S,Everton,3,1.2690291870385408,5.038554010912776,4.973763843998313,2016
612,Vincent Kompany,11,826,3,0.6902353912591934,0,0.5746745243668556,9,2,5,0,D S,Manchester City,3,0.6902353912591934,2.4782427847385406,2.434142768383026,2016
719,Wayne Routledge,27,1957,3,3.7827996276319027,1,2.054804333485663,19,25,1,0,F M S,Swansea,3,3.7827996276319027,6.5160643476992846,1.7848158106207848,2016
754,Shinji Okazaki,30,1594,3,2.964745203964412,1,1.240434980019927,29,14,1,0,F M S,Leicester,3,2.964745203964412,5.195507389493287,2.084342498332262,2016
775,Andros Townsend,36,2542,3,3.331525790505111,4,5.83449300378561,56,51,4,0,F M S,Crystal Palace,3,3.331525790505111,9.206503234803677,2.9004562785848975,2016
818,Victor Anichebe,18,1212,3,2.426557875238359,0,0.7153269127011299,30,11,2,0,F M S,Sunderland,3,2.426557875238359,3.6320533752441406,0.8847618978470564,2016
839,Shane Long,32,1231,3,5.245460886508226,1,1.568783400580287,41,14,2,0,F S,Southampton,3,4.484291795641184,7.210736649110913,1.5648734997957945,2016
840,Dusan Tadic,33,2457,3,6.760316548869014,5,5.7028485760092735,63,66,4,0,F M S,Southampton,2,5.237976578995585,13.268406096845865,6.236922853626311,2016
871,Bojan,9,474,3,2.816583713516593,0,0.15535229817032814,10,4,1,0,F M S,Stoke,1,0.5330776115879416,1.2773735206574202,0.6525818966329098,2016
904,Chris Brunt,31,2478,3,1.5911602908745408,4,4.866877308115363,38,40,5,0,D M S,West Bromwich Albion,3,1.5911602908745408,6.070449275895953,3.5755154686048627,2016
1674,Sofiane Feghouli,21,1034,3,2.854199543595314,3,1.5520698856562376,20,19,1,1,F M S,West Ham,3,2.854199543595314,6.191003633663058,2.453573126345873,2016
1683,Ryan Fraser,28,1774,3,2.1123162023723125,5,3.622358724474907,24,32,3,0,D M S,Bournemouth,3,2.1123162023723125,6.436733680777252,2.6309686079621315,2016
1690,Sam Clucas,37,3195,3,2.7785697178915143,1,1.5413982747122645,42,15,9,1,D M S,Hull,3,2.7785697178915143,7.731717757880688,4.405732207000256,2016
1738,Hal Robson-Kanu,29,654,3,1.9389457143843174,2,0.8019475154578686,16,9,3,0,F S,West Bromwich Albion,3,1.9389457143843174,2.593429312109947,0.5108151370659471,2016
1744,Michael Dawson,22,1718,3,0.6878849286586046,0,0.2418445022776723,12,4,4,0,D S,Hull,3,0.6878849286586046,1.7646634876728058,1.6883539892733097,2016
204,Granit Xhaka,32,2492,2,0.9050186015665531,2,2.115309687331319,34,35,5,2,M S,Arsenal,2,0.9050186015665531,13.469469396397471,12.100475447252393,2016
458,Steve Cook,38,3420,2,1.654715915210545,0,0.4837766960263252,29,3,5,0,D,Bournemouth,2,1.654715915210545,6.486318210139871,6.173630646429956,2016
462,Dan Gosling,27,1336,2,1.4571681842207909,0,0.7769592925906181,16,10,6,0,M S,Bournemouth,2,1.4571681842207909,5.838790667243302,4.33312859851867,2016
466,Marc Pugh,21,1345,2,1.6018412858247757,2,1.878648228943348,18,19,1,0,D M S,Bournemouth,2,1.6018412858247757,4.169176809489727,2.3521924018859863,2016
494,Laurent Koscielny,33,2828,2,1.3298050742596388,0,0.1977356020361185,9,3,4,1,D,Arsenal,2,1.3298050742596388,7.749732313677669,7.706238312646747,2016
501,Danny Welbeck,16,743,2,3.4654518999159336,2,1.1594071947038174,19,5,0,0,F M S,Arsenal,2,3.4654518999159336,4.500693671405315,0.6830954924225807,2016
508,Calum Chambers,25,2250,2,0.8403274239972234,1,0.6078136097639799,8,6,4,0,D,"Arsenal,Middlesbrough",2,0.8403274239972234,3.606951931491494,3.128462452441454,2016
519,Connor Wickham,8,406,2,1.089648500084877,0,0,10,0,1,0,F M S,Crystal Palace,2,1.089648500084877,1.2747620977461338,0.3482366017997265,2016
529,Winston Reid,30,2595,2,0.8129212111234665,2,0.9388464195653796,11,8,8,1,D,West Ham,2,0.8129212111234665,3.4150177082046866,3.2767178118228912,2016
536,Dimitri Payet,18,1520,2,3.223100610077381,6,5.917087025940418,55,74,2,0,F M S,West Ham,2,3.223100610077381,6.662132266908884,2.9931112127378583,2016
568,José Holebas,33,2917,2,0.9236078038811684,4,2.9176323590800166,28,36,14,0,D M,Watford,2,0.9236078038811684,5.528829487040639,4.063428420573473,2016
588,Leighton Baines,32,2827,2,2.7509228345006704,3,2.6850180039182305,15,46,4,0,D M,Everton,0,0.46741550229489803,12.14088617824018,10.553630283102393,2016
590,Gareth Barry,33,2109,2,0.861535887233913,1,1.3470333004370332,17,28,10,0,M S,Everton,2,0.861535887233913,7.23050538636744,6.2938356176018715,2016
602,Dejan Lovren,29,2559,2,1.136596292257309,1,0.44400050304830074,15,7,6,0,D,Liverpool,2,1.136596292257309,7.753830149769783,7.697475947439671,2016
614,Fernandinho,32,2752,2,3.2935858806595206,1,2.4662297070026398,36,33,4,2,D M S,Manchester City,2,3.2935858806595206,16.815134800970554,13.908864980563521,2016
622,Wilfried Bony,10,702,2,2.4631300158798695,0,0.8356749005615711,21,7,1,0,F S,Stoke,2,2.4631300158798695,3.3504210747778416,0.9201749879866838,2016
641,Danny Rose,18,1538,2,0.8990533081814647,2,1.3458631113171577,23,26,8,0,D M,Tottenham,2,0.8990533081814647,4.799434492364526,3.438614198938012,2016
643,Eric Dier,36,3045,2,1.5872800033539534,0,0.7489531114697456,23,14,6,0,D M S,Tottenham,2,1.5872800033539534,10.803298082202673,10.07175898551941,2016
655,James Collins,22,1649,2,1.055944075807929,0,0.19634490087628365,11,4,3,0,D S,West Ham,2,1.055944075807929,1.3343894919380546,1.1541633950546384,2016
736,Younes Kaboul,23,1919,2,1.4167460016906261,0,0.06752640102058649,12,2,2,0,D,"Sunderland,Watford",2,1.4167460016906261,0.7621026076376438,0.6498812045902014,2016
737,Fabio Borini,24,1739,2,2.044637428596616,0,0.5919893030077219,33,15,5,0,F M S,Sunderland,2,2.044637428596616,3.13609940931201,1.0123161990195513,2016
747,Robert Huth,33,2932,2,2.0303970891982317,2,1.5547647550702095,26,6,9,0,D,Leicester,2,2.0303970891982317,3.803451405838132,2.953204605728388,2016
749,Christian Fuchs,36,3108,2,1.3513160282745957,4,3.4672655882313848,21,38,10,0,D S,Leicester,2,1.3513160282745957,6.171519406139851,4.742113219574094,2016
753,Marc Albrighton,33,2449,2,1.282536887563765,6,4.638040881603956,21,47,5,0,D M S,Leicester,2,1.282536887563765,6.39722306560725,2.8114807195961475,2016
764,Daryl Janmaat,27,1620,2,1.470455477014184,1,1.5475112907588482,26,13,2,0,D M S,Watford,2,1.470455477014184,3.83804870210588,2.3895008843392134,2016
798,Martin Olsson,15,1252,2,0.70154869556427,0,0.39556800201535225,9,7,2,0,D S,Swansea,2,0.70154869556427,3.1216078102588654,2.286035118624568,2016
807,Jonny Evans,31,2635,2,1.805808998644352,1,0.3334583966061473,9,7,8,0,D M S,West Bromwich Albion,2,1.805808998644352,3.056495616212487,3.042246015742421,2016
809,Darren Fletcher,38,3242,2,1.874785890802741,3,1.7452845815569162,20,23,0,0,M S,West Bromwich Albion,2,1.874785890802741,6.902402086183429,4.336862497031689,2016
835,Ryan Bertrand,28,2509,2,0.6660360107198358,4,2.694297209382057,19,28,3,0,D,Southampton,2,0.6660360107198358,8.266150183975697,6.5086263827979565,2016
952,Gastón Ramírez,24,1561,2,3.113752471283078,3,3.0068857222795486,32,31,8,1,F M S,Middlesbrough,2,3.113752471283078,7.360805071890354,3.585045713931322,2016
965,Santiago Cazorla,8,621,2,1.6693916991353035,2,0.8027662038803101,8,10,2,0,M S,Arsenal,0,0.14705369994044304,3.2815439254045486,2.7705690264701843,2016
966,Alex Oxlade-Chamberlain,29,1564,2,2.440088886767626,7,4.469723431393504,28,32,1,0,M S,Arsenal,2,2.440088886767626,10.298072082921863,5.440289983525872,2016
1042,Tom Davies,24,1540,2,1.399094196036458,3,1.967228788882494,14,13,4,0,M S,Everton,2,1.399094196036458,6.800828769803047,3.664227234199643,2016
1126,M&#039;Baye Niang,16,1278,2,1.2735738176852465,2,1.8515575043857098,32,9,2,0,F M S,Watford,2,1.2735738176852465,3.6397408805787563,1.7139420974999666,2016
1522,Andrea Ranocchia,16,1330,2,0.8233591802418232,2,0.5870831049978733,8,3,2,0,D S,Hull,2,0.8233591802418232,2.503325518220663,1.8369258865714073,2016
1653,Michael Keane,35,3150,2,1.458498489111662,1,0.9949255008250475,23,8,4,0,D,Burnley,2,1.458498489111662,1.3617717996239662,1.1613999027758837,2016
1656,George Boyd,36,2866,2,1.4767534052953124,1,2.1451754877343774,34,17,3,0,M S,Burnley,2,1.4767534052953124,4.605845753103495,1.8933543134480715,2016
1681,Ahmed Musa,21,733,2,1.4059602422639728,0,1.214856117963791,17,7,1,0,F M S,Leicester,2,1.4059602422639728,3.7689506001770496,1.5175206065177917,2016
